epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1200.39,2.6656,1.48123,0.9607,0.06024,0.37938,0.04317,0.01397,2.17693,17.6979,0.84654,0.0080002,0.0080002,0.0080002
103,1212.02,2.60871,1.45947,0.97727,0.05547,0.27797,0.03883,0.01141,2.24763,17.7234,0.86057,0.0079804,0.0079804,0.0079804
104,1223.59,2.61263,1.45961,0.96347,0.05644,0.20339,0.04199,0.01261,2.10593,17.4149,0.83011,0.0079606,0.0079606,0.0079606
105,1235.14,2.55413,1.43306,0.97549,0.05529,0.13246,0.03659,0.0114,2.21753,16.7056,0.84094,0.0079408,0.0079408,0.0079408
106,1247.59,2.63899,1.5076,0.97078,0.06119,0.29215,0.04518,0.01614,2.19876,14.9659,0.82999,0.007921,0.007921,0.007921
107,1261.99,2.51548,1.38795,0.95391,0.07274,0.42193,0.05831,0.01761,2.27067,15.4789,0.8652,0.0079012,0.0079012,0.0079012
108,1276.4,2.54103,1.4626,0.9519,0.06288,0.19606,0.0376,0.01267,2.37507,15.0643,0.87688,0.0078814,0.0078814,0.0078814
109,1290.97,2.60067,1.4315,0.97406,0.0747,0.29947,0.0533,0.01745,2.24391,17.8504,0.86036,0.0078616,0.0078616,0.0078616
110,1305.45,2.61661,1.43425,0.97294,0.05018,0.24708,0.0312,0.01077,2.22403,15.4662,0.88009,0.0078418,0.0078418,0.0078418
111,1319.97,2.53335,1.38886,0.97666,0.0793,0.23198,0.05461,0.01885,2.23396,16.3636,0.85844,0.007822,0.007822,0.007822
112,1334.36,2.61948,1.46724,0.9647,0.07084,0.22146,0.04563,0.01389,2.29953,16.3321,0.86522,0.0078022,0.0078022,0.0078022
113,1348.82,2.58216,1.42391,0.95674,0.04616,0.18554,0.02737,0.00673,2.3639,16.1889,0.85981,0.0077824,0.0077824,0.0077824
114,1363.35,2.58526,1.43344,0.9513,0.07307,0.32295,0.0493,0.01392,2.16345,15.1168,0.8563,0.0077626,0.0077626,0.0077626
115,1377.95,2.58922,1.44785,0.96144,0.0701,0.39013,0.04444,0.01261,2.34984,17.3822,0.8839,0.0077428,0.0077428,0.0077428
116,1392.47,2.58402,1.43053,0.96407,0.06827,0.17181,0.04655,0.01611,1.97354,16.4938,0.83456,0.007723,0.007723,0.007723
117,1407.05,2.57821,1.43371,0.94722,0.06897,0.31732,0.04752,0.01691,2.21188,15.6803,0.83046,0.0077032,0.0077032,0.0077032
118,1421.53,2.56325,1.39529,0.9633,0.07374,0.26058,0.0501,0.0182,2.1838,17.0403,0.83505,0.0076834,0.0076834,0.0076834
119,1436.08,2.57797,1.44798,0.95876,0.07417,0.23198,0.04427,0.01504,2.13357,16.0405,0.85137,0.0076636,0.0076636,0.0076636
120,1450.57,2.50315,1.45437,0.96354,0.05992,0.24617,0.04351,0.01388,2.25714,19.3032,0.85969,0.0076438,0.0076438,0.0076438
121,1465.05,2.55143,1.4269,0.95425,0.08432,0.21437,0.05641,0.01805,2.22344,16.5109,0.85916,0.007624,0.007624,0.007624
122,1479.56,2.54759,1.42216,0.95863,0.0664,0.28163,0.04615,0.01394,2.17447,16.0972,0.85352,0.0076042,0.0076042,0.0076042
123,1494.19,2.55891,1.4149,0.94927,0.07338,0.25006,0.05454,0.01618,2.21241,15.9888,0.84828,0.0075844,0.0075844,0.0075844
124,1508.54,2.52003,1.44995,0.95175,0.07038,0.30265,0.0514,0.0161,2.04453,15.3818,0.84988,0.0075646,0.0075646,0.0075646
125,1523.07,2.613,1.43217,0.95447,0.06885,0.26424,0.04872,0.01308,2.29982,17.2924,0.8571,0.0075448,0.0075448,0.0075448
126,1537.54,2.48346,1.37462,0.94462,0.06921,0.27133,0.04571,0.01335,2.49249,16.4227,0.88871,0.007525,0.007525,0.007525
127,1552.05,2.5088,1.37997,0.97028,0.06652,0.22832,0.04827,0.01679,2.15531,15.4999,0.83094,0.0075052,0.0075052,0.0075052
128,1566.48,2.52238,1.41048,0.94228,0.08411,0.24274,0.05608,0.01569,2.00549,15.5553,0.82362,0.0074854,0.0074854,0.0074854
